transcript_id	gene_name	eval_type	n_pairs	n_reads_any	max_TE_cov_frac	max_host_cov_frac	max_pair_cov_frac	n_TE_host_junction_reads_10bp	TE_host_junction_support_10bp	n_TE_host_anchor75_reads	TE_host_anchor75_support
MSTRG.58396.3	Slc22a28	multi_exon	7	3177	1	1	1	205	Yes	4	Yes
MSTRG.85804.2	Speer4e	multi_exon	22	43904	1	1	1	4993	Yes	53	Yes
MSTRG.27351.1	Gm6803	multi_exon	5	43442	1	1	1	6060	Yes	3966	Yes
MSTRG.81899.1	Gm12823	multi_exon	16	208204	1	1	1	30242	Yes	1271	Yes
MSTRG.3593.11	Gm28940	multi_exon	79	1535475	1	1	1	68042	Yes	10	Yes
MSTRG.99371.2	Klrb1	multi_exon	6	106	0	1	0.918641	0	-	0	-
MSTRG.99371.3	Klrb1	multi_exon	6	106	0	0.766174	0.736533	0	-	0	-
MSTRG.106903.2	Rbbp6	multi_exon	5	2785	1	1	1	559	Yes	51	Yes
MSTRG.60463.10	Scd3	multi_exon	10	58142	1	1	1	10760	Yes	3069	Yes
MSTRG.106903.4	Rbbp6	multi_exon	1	818	1	1	1	468	Yes	17	Yes
MSTRG.75674.9	6530403H02Rik	multi_exon	1	554	1	1	1	251	Yes	6	Yes
MSTRG.99279.8	Cracr2a	multi_exon	1	272	1	1	0.672755	58	Yes	0	-
MSTRG.19261.1	Clec10a	multi_exon	1	31910	1	0.615703	0.563136	1548	Yes	0	-
MSTRG.55556.1	Fgf1	multi_exon	1	1607	1	0.828488	0.745917	145	Yes	0	-
MSTRG.55556.2	Fgf1	multi_exon	1	1607	1	0.82835	0.745734	145	Yes	0	-
MSTRG.20286.1	Slfn2	multi_exon	138	1495435	1	0.949956	0.816265	25422	Yes	4	Yes
MSTRG.64591.20	Ppig	multi_exon	2	2578	1	1	1	333	Yes	16	Yes
MSTRG.100962.1	Zfp110	multi_exon	1	669	1	1	0.837022	3	Yes	0	-
MSTRG.121717.2	Fundc1	multi_exon	13	94123	1	1	1	7063	Yes	1581	Yes
ENSMUST00000203666.1	RP23-142H1.2	multi_exon	1	196	1	1	0.596992	19	Yes	0	-
MSTRG.92976.10	Usp12	multi_exon	5	3244	1	1	1	29	Yes	3	Yes
ENSMUST00000167908.1	Gm17019	multi_exon	29	105468	1	1	1	9298	Yes	419	Yes
MSTRG.34788.1	BC147527	multi_exon	7	13457	1	1	1	1534	Yes	90	Yes
MSTRG.34788.2	BC147527	multi_exon	1	3067	1	1	1	1498	Yes	872	Yes
ENSMUST00000133333.1	Drr1	multi_exon	1	14058	1	1	0.943876	0	-	0	-
MSTRG.109121.10	Csmd1	multi_exon	23	4572	1	1	0.831933	43	Yes	0	-
MSTRG.81778.15	Eps15	multi_exon	10	39797	1	1	1	6383	Yes	4301	Yes
MSTRG.34788.4	Tcstv3	multi_exon	1	4849	1	1	1	1985	Yes	1149	Yes
MSTRG.81463.2	Gm37253	multi_exon	5	796	1	1	1	335	Yes	235	Yes
MSTRG.69258.1	Snai1	multi_exon	28	72454	1	1	1	8351	Yes	1153	Yes
MSTRG.43075.3	Nfam1	multi_exon	11	46	0.379032	1	0.854206	3	Yes	0	-
MSTRG.49495.2	Vmn2r94	multi_exon	4	6865	1	1	1	134	Yes	27	Yes
MSTRG.96449.1	Igkv10-96	single_exon	10	2558	1	1	1	312	Yes	19	Yes
MSTRG.7384.10	Ddr2	multi_exon	7	12909	1	1	1	1949	Yes	61	Yes
MSTRG.74182.5	Tdpoz4	multi_exon	1	1160	1	1	1	387	Yes	2	Yes
MSTRG.94207.1	RP24-301O17.1	multi_exon	2	5502	1	1	0.932447	1890	Yes	22	Yes
MSTRG.9384.5	Epm2a	multi_exon	8	4798	1	1	1	656	Yes	282	Yes
MSTRG.22415.1	Gprc5c	multi_exon	8	1155	1	1	1	197	Yes	34	Yes
MSTRG.94207.4	RP24-301O17.3	multi_exon	8	249	1	1	1	60	Yes	38	Yes
MSTRG.59912.11	Ankrd22	multi_exon	1	55498	1	1	0.688956	51	Yes	0	-
MSTRG.7384.19	Ddr2	multi_exon	5	5196	1	1	1	150	Yes	3	Yes
MSTRG.80555.9	Dennd4c	multi_exon	16	190341	1	1	1	19504	Yes	2445	Yes
MSTRG.119034.1	Gm9621	multi_exon	1	15071	1	1	0.789792	2	Yes	0	-
MSTRG.71636.13	Spata5	multi_exon	11	3342	1	1	1	79	Yes	10	Yes
MSTRG.74129.1	Sprr2e	multi_exon	1	1106	1	1	0.875252	47	Yes	0	-
MSTRG.3719.32	Gm6264	multi_exon	17	143425	1	1	1	17762	Yes	27	Yes
MSTRG.101339.3	Psg20	multi_exon	13	807975	1	1	1	145762	Yes	2457	Yes
