Seed	Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
101	TEDDY	5x	64	93	63	1	30	0.984375	0.6774193548387096	0.802547770700637
101	TEDDY	10x	75	93	74	1	19	0.9866666666666668	0.7956989247311828	0.8809523809523809
101	TEDDY	25x	83	93	82	1	11	0.9879518072289156	0.8817204301075269	0.9318181818181818
101	TEDDY	50x	89	93	87	2	6	0.9775280898876404	0.935483870967742	0.956043956043956
101	TEDDY	100x	92	93	89	3	4	0.967391304347826	0.956989247311828	0.9621621621621622
101	TEProf2	5x	17	19	9	8	10	0.5294117647058824	0.47368421052631576	0.5
101	TEProf2	10x	17	19	9	8	10	0.5294117647058824	0.47368421052631576	0.5
101	TEProf2	25x	19	19	8	11	11	0.42105263157894735	0.42105263157894735	0.42105263157894735
101	TEProf2	50x	21	19	9	12	10	0.42857142857142855	0.47368421052631576	0.45
101	TEProf2	100x	21	19	9	12	10	0.42857142857142855	0.47368421052631576	0.45
101	FREDY	5x	277	130	120	157	10	0.4332129963898917	0.9230769230769232	0.5896805896805897
101	FREDY	10x	277	130	120	157	10	0.4332129963898917	0.9230769230769232	0.5896805896805897
101	FREDY	25x	279	130	122	157	8	0.43727598566308246	0.9384615384615383	0.5965770171149144
101	FREDY	50x	281	130	124	157	6	0.4412811387900356	0.953846153846154	0.6034063260340633
101	FREDY	100x	282	130	125	157	5	0.4432624113475177	0.9615384615384616	0.6067961165048543
101	LIONS	5x	5	19	2	3	17	0.4	0.10526315789473684	0.16666666666666666
101	LIONS	10x	7	19	4	3	15	0.5714285714285714	0.21052631578947367	0.3076923076923077
101	LIONS	25x	10	19	4	6	15	0.4	0.21052631578947367	0.27586206896551724
101	LIONS	50x	12	19	4	8	15	0.3333333333333333	0.21052631578947367	0.25806451612903225
101	LIONS	100x	13	19	4	9	15	0.3076923076923077	0.21052631578947367	0.25
101	Arriba	5x	28	93	1	27	92	0.03571428571428571	0.01075268817204301	0.01652892561983471
101	Arriba	10x	35	93	3	32	90	0.08571428571428572	0.03225806451612903	0.046875
101	Arriba	25x	57	93	8	49	85	0.14035087719298245	0.08602150537634409	0.10666666666666667
101	Arriba	50x	93	93	14	79	79	0.15053763440860216	0.15053763440860216	0.15053763440860216
101	Arriba	100x	149	93	21	128	72	0.14093959731543623	0.2258064516129032	0.17355371900826447
101	ChimeraTE	5x	10	93	4	6	89	0.4	0.04301075268817204	0.07766990291262135
101	ChimeraTE	10x	12	93	6	6	87	0.5	0.06451612903225806	0.11428571428571428
101	ChimeraTE	25x	19	93	7	12	86	0.3684210526315789	0.07526881720430108	0.125
101	ChimeraTE	50x	24	93	9	15	84	0.375	0.0967741935483871	0.15384615384615383
101	ChimeraTE	100x	27	93	10	17	83	0.3703703703703703	0.10752688172043012	0.16666666666666666
102	TEDDY	5x	52	85	52	0	33	1	0.611764705882353	0.7591240875912408
102	TEDDY	10x	59	85	59	0	26	1	0.6941176470588235	0.8194444444444444
102	TEDDY	25x	68	85	68	0	17	1	0.8	0.8888888888888888
102	TEDDY	50x	75	85	75	0	10	1	0.8823529411764706	0.9375
102	TEDDY	100x	77	85	77	0	8	1	0.9058823529411764	0.9506172839506172
102	TEProf2	5x	13	15	6	7	9	0.4615384615384616	0.4	0.42857142857142855
102	TEProf2	10x	13	15	7	6	8	0.5384615384615384	0.4666666666666667	0.5
102	TEProf2	25x	14	15	7	7	8	0.5	0.4666666666666667	0.4827586206896552
102	TEProf2	50x	14	15	7	7	8	0.5	0.4666666666666667	0.4827586206896552
102	TEProf2	100x	14	15	7	7	8	0.5	0.4666666666666667	0.4827586206896552
102	FREDY	5x	276	120	111	165	9	0.4021739130434782	0.925	0.5606060606060606
102	FREDY	10x	277	120	112	165	8	0.4043321299638989	0.9333333333333332	0.5642317380352645
102	FREDY	25x	276	120	111	165	9	0.4021739130434782	0.925	0.5606060606060606
102	FREDY	50x	278	120	113	165	7	0.4064748201438849	0.9416666666666668	0.5678391959798995
102	FREDY	100x	279	120	113	166	7	0.4050179211469534	0.9416666666666668	0.5664160401002506
102	LIONS	5x	6	15	2	4	13	0.3333333333333333	0.13333333333333333	0.1904761904761905
102	LIONS	10x	8	15	2	6	13	0.25	0.13333333333333333	0.17391304347826086
102	LIONS	25x	6	15	3	3	12	0.5	0.2	0.2857142857142857
102	LIONS	50x	7	15	2	5	13	0.2857142857142857	0.13333333333333333	0.18181818181818185
102	LIONS	100x	8	15	3	5	12	0.375	0.2	0.2608695652173913
102	Arriba	5x	8	85	3	5	82	0.375	0.03529411764705882	0.06451612903225806
102	Arriba	10x	17	85	6	11	79	0.35294117647058826	0.07058823529411765	0.1176470588235294
102	Arriba	25x	34	85	8	26	77	0.2352941176470588	0.09411764705882351	0.13445378151260504
102	Arriba	50x	45	85	9	36	76	0.2	0.10588235294117648	0.13846153846153847
102	Arriba	100x	71	85	15	56	70	0.2112676056338028	0.17647058823529413	0.19230769230769232
102	ChimeraTE	5x	6	85	5	1	80	0.8333333333333334	0.0588235294117647	0.10989010989010987
102	ChimeraTE	10x	9	85	5	4	80	0.5555555555555556	0.0588235294117647	0.10638297872340426
