Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
TEDDY	5x	68.8	113.6	68.2	0.6	45.3	0.993 ± 0.010	0.603 ± 0.068	0.748 ± 0.054
TEDDY	10x	81.6	113.6	81.1	0.4	32.4	0.994 ± 0.009	0.716 ± 0.062	0.831 ± 0.042
TEDDY	25x	96.6	113.6	96.2	0.3	17.3	0.996 ± 0.007	0.847 ± 0.048	0.915 ± 0.028
TEDDY	50x	103.9	113.6	103.3	0.6	10.2	0.995 ± 0.009	0.910 ± 0.029	0.950 ± 0.016
TEDDY	100x	108.6	113.6	107.9	0.7	5.7	0.994 ± 0.012	0.949 ± 0.021	0.971 ± 0.013
TEProf2	5x	17.4	24.4	7.3	10.1	17.1	0.423 ± 0.106	0.307 ± 0.097	0.352 ± 0.098
TEProf2	10x	20.1	24.4	8.8	11.3	15.7	0.437 ± 0.115	0.362 ± 0.082	0.394 ± 0.092
TEProf2	25x	21.4	24.4	9.3	12.1	15.1	0.438 ± 0.092	0.383 ± 0.062	0.406 ± 0.070
TEProf2	50x	22.3	24.4	9.6	12.8	14.9	0.433 ± 0.090	0.393 ± 0.068	0.409 ± 0.070
TEProf2	100x	22.4	24.4	10.1	12.3	14.3	0.456 ± 0.085	0.414 ± 0.061	0.430 ± 0.060
FREDY	5x	286.7	150.0	142.2	144.4	7.8	0.496 ± 0.046	0.947 ± 0.018	0.650 ± 0.044
FREDY	10x	287.1	150.0	142.8	144.3	7.2	0.497 ± 0.046	0.951 ± 0.017	0.652 ± 0.044
FREDY	25x	287.7	150.0	143.3	144.3	6.7	0.498 ± 0.046	0.954 ± 0.018	0.653 ± 0.044
FREDY	50x	288.6	150.0	144.2	144.3	5.8	0.499 ± 0.044	0.961 ± 0.012	0.656 ± 0.042
FREDY	100x	289.0	150.0	144.6	144.4	5.4	0.500 ± 0.045	0.963 ± 0.010	0.657 ± 0.042
LIONS	5x	9.7	24.4	3.3	6.3	21.1	0.342 ± 0.122	0.131 ± 0.054	0.187 ± 0.074
LIONS	10x	11.9	24.4	3.9	8.0	20.6	0.339 ± 0.128	0.158 ± 0.051	0.212 ± 0.070
LIONS	25x	12.2	24.4	4.0	8.2	20.4	0.348 ± 0.143	0.165 ± 0.073	0.222 ± 0.095
LIONS	50x	15.3	24.4	4.4	10.9	20.0	0.299 ± 0.102	0.182 ± 0.058	0.223 ± 0.072
LIONS	100x	15.7	24.4	4.8	10.9	19.7	0.313 ± 0.088	0.196 ± 0.045	0.239 ± 0.056
Arriba	5x	20.3	113.6	3.9	16.4	109.7	0.210 ± 0.092	0.034 ± 0.013	0.058 ± 0.022
Arriba	10x	31.0	113.6	6.9	24.1	106.7	0.227 ± 0.081	0.061 ± 0.022	0.095 ± 0.033
Arriba	25x	52.9	113.6	11.8	41.1	101.8	0.222 ± 0.051	0.103 ± 0.025	0.140 ± 0.032
Arriba	50x	79.9	113.6	17.6	62.3	96.0	0.220 ± 0.050	0.152 ± 0.033	0.179 ± 0.038
Arriba	100x	116.6	113.6	24.2	92.3	89.3	0.209 ± 0.047	0.211 ± 0.043	0.208 ± 0.042
ChimeraTE	5x	11.0	113.6	6.3	4.7	107.2	0.587 ± 0.178	0.055 ± 0.016	0.100 ± 0.028
ChimeraTE	10x	14.4	113.6	8.1	6.3	105.4	0.559 ± 0.129	0.070 ± 0.016	0.124 ± 0.027
ChimeraTE	25x	18.7	113.6	9.7	9.0	103.9	0.516 ± 0.133	0.083 ± 0.016	0.143 ± 0.028
ChimeraTE	50x	22.1	113.6	11.0	11.1	102.6	0.507 ± 0.112	0.096 ± 0.009	0.161 ± 0.016
ChimeraTE	100x	25.2	113.6	12.4	12.8	101.1	0.501 ± 0.102	0.110 ± 0.013	0.179 ± 0.021
