seed	depth	tool	setting	truth_scope	scoring_unit	truth_gene	pred_gene	TP	FP	FN	precision	recall	F1	unmapped_tx	tied_best_tx
101	5x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	93	64	63	1	30	0.984375	0.6774193548387096	0.802547770700637	NA	NA
101	5x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	93	28	1	27	92	0.03571428571428571	0.010752688172043012	0.01652892561983471	NA	NA
101	5x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	93	10	4	6	89	0.4	0.043010752688172046	0.07766990291262135	NA	NA
101	5x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	130	277	120	157	10	0.4332129963898917	0.9230769230769231	0.5896805896805897	0	0
101	5x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	19	5	2	3	17	0.4	0.10526315789473684	0.16666666666666666	NA	NA
101	5x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	19	17	9	8	10	0.5294117647058824	0.47368421052631576	0.5	NA	NA
101	10x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	93	75	74	1	19	0.9866666666666667	0.7956989247311828	0.8809523809523809	NA	NA
101	10x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	93	35	3	32	90	0.08571428571428572	0.03225806451612903	0.046875	NA	NA
101	10x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	93	12	6	6	87	0.5	0.06451612903225806	0.11428571428571428	NA	NA
101	10x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	130	277	120	157	10	0.4332129963898917	0.9230769230769231	0.5896805896805897	0	0
101	10x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	19	7	4	3	15	0.5714285714285714	0.21052631578947367	0.3076923076923077	NA	NA
101	10x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	19	17	9	8	10	0.5294117647058824	0.47368421052631576	0.5	NA	NA
101	25x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	93	83	82	1	11	0.9879518072289156	0.8817204301075269	0.9318181818181818	NA	NA
101	25x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	93	57	8	49	85	0.14035087719298245	0.08602150537634409	0.10666666666666667	NA	NA
101	25x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	93	19	7	12	86	0.3684210526315789	0.07526881720430108	0.125	NA	NA
101	25x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	130	279	122	157	8	0.43727598566308246	0.9384615384615385	0.5965770171149144	0	0
101	25x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	19	10	4	6	15	0.4	0.21052631578947367	0.27586206896551724	NA	NA
101	25x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	19	19	8	11	11	0.42105263157894735	0.42105263157894735	0.42105263157894735	NA	NA
101	50x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	93	89	87	2	6	0.9775280898876404	0.9354838709677419	0.9560439560439561	NA	NA
101	50x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	93	93	14	79	79	0.15053763440860216	0.15053763440860216	0.15053763440860216	NA	NA
101	50x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	93	24	9	15	84	0.375	0.0967741935483871	0.15384615384615385	NA	NA
101	50x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	130	281	124	157	6	0.4412811387900356	0.9538461538461539	0.6034063260340633	1	0
101	50x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	19	12	4	8	15	0.3333333333333333	0.21052631578947367	0.25806451612903225	NA	NA
101	50x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	19	21	9	12	10	0.42857142857142855	0.47368421052631576	0.45	NA	NA
101	100x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	93	92	89	3	4	0.967391304347826	0.956989247311828	0.9621621621621622	NA	NA
101	100x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	93	149	21	128	72	0.14093959731543623	0.22580645161290322	0.17355371900826447	NA	NA
101	100x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	93	27	10	17	83	0.37037037037037035	0.10752688172043011	0.16666666666666666	NA	NA
101	100x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	130	282	125	157	5	0.4432624113475177	0.9615384615384616	0.6067961165048543	1	0
101	100x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	19	13	4	9	15	0.3076923076923077	0.21052631578947367	0.25	NA	NA
101	100x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	19	21	9	12	10	0.42857142857142855	0.47368421052631576	0.45	NA	NA
102	5x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	85	52	52	0	33	1	0.611764705882353	0.7591240875912408	NA	NA
102	5x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	85	8	3	5	82	0.375	0.03529411764705882	0.06451612903225806	NA	NA
102	5x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	85	6	5	1	80	0.8333333333333334	0.058823529411764705	0.10989010989010989	NA	NA
102	5x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	120	276	111	165	9	0.40217391304347827	0.925	0.5606060606060606	0	0
102	5x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	15	6	2	4	13	0.3333333333333333	0.13333333333333333	0.19047619047619047	NA	NA
102	5x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	15	13	6	7	9	0.46153846153846156	0.4	0.42857142857142855	NA	NA
102	10x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	85	59	59	0	26	1	0.6941176470588235	0.8194444444444444	NA	NA
102	10x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	85	17	6	11	79	0.35294117647058826	0.07058823529411765	0.11764705882352941	NA	NA
102	10x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	85	9	5	4	80	0.5555555555555556	0.058823529411764705	0.10638297872340426	NA	NA
102	10x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	120	277	112	165	8	0.4043321299638989	0.9333333333333333	0.5642317380352645	0	0
102	10x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	15	8	2	6	13	0.25	0.13333333333333333	0.17391304347826086	NA	NA
102	10x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	15	13	7	6	8	0.5384615384615384	0.4666666666666667	0.5	NA	NA
102	25x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	85	68	68	0	17	1	0.8	0.8888888888888888	NA	NA
102	25x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	85	34	8	26	77	0.23529411764705882	0.09411764705882353	0.13445378151260504	NA	NA
102	25x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	85	12	5	7	80	0.4166666666666667	0.058823529411764705	0.10309278350515463	NA	NA
102	25x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	120	276	111	165	9	0.40217391304347827	0.925	0.5606060606060606	0	0
102	25x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	15	6	3	3	12	0.5	0.2	0.2857142857142857	NA	NA
102	25x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	15	14	7	7	8	0.5	0.4666666666666667	0.4827586206896552	NA	NA
102	50x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	85	75	75	0	10	1	0.8823529411764706	0.9375	NA	NA
102	50x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	85	45	9	36	76	0.2	0.10588235294117647	0.13846153846153847	NA	NA
102	50x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	85	14	7	7	78	0.5	0.08235294117647059	0.1414141414141414	NA	NA
102	50x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	120	278	113	165	7	0.4064748201438849	0.9416666666666667	0.5678391959798995	0	0
102	50x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	15	7	2	5	13	0.2857142857142857	0.13333333333333333	0.18181818181818182	NA	NA
