category	rep_a	n_genes_a	rep_b	n_genes_b	intersection	union	jaccard
all_TE_initiated	rep1	702	rep2	704	371	1035	0.35845410628019325
all_TE_initiated	rep1	702	rep3	730	352	1080	0.32592592592592595
all_TE_initiated	rep1	702	rep4	647	341	1008	0.3382936507936508
all_TE_initiated	rep2	704	rep3	730	366	1068	0.34269662921348315
all_TE_initiated	rep2	704	rep4	647	340	1011	0.3363006923837784
all_TE_initiated	rep3	730	rep4	647	369	1008	0.36607142857142855
MT2_Mm_initiated	rep1	65	rep2	60	49	76	0.6447368421052632
MT2_Mm_initiated	rep1	65	rep3	61	51	75	0.68
MT2_Mm_initiated	rep1	65	rep4	55	48	72	0.6666666666666666
MT2_Mm_initiated	rep2	60	rep3	61	47	74	0.6351351351351351
MT2_Mm_initiated	rep2	60	rep4	55	44	71	0.6197183098591549
MT2_Mm_initiated	rep3	61	rep4	55	45	71	0.6338028169014085
