depth	fredy_dir	fredy_transcript_id	fredy_gene_id	chimeric_event	chimeric_exon_number	seqnames	start	end	strand	matched_gene_id	matched_gene_name	matched_gene_type	overlap_width	mapping_status	pred_gene
100x	100x	MSTRG.134.1	MSTRG.134	MTC	2	chr13	4434432	4449478	+	ENSMUSG00000021210.14	Akr1c6	protein_coding	15047	mapped_to_reference_gene	Akr1c6
100x	100x	MSTRG.140.1	MSTRG.140	Lx5c	4	chr13	27259436	27276660	+	ENSMUSG00000038883.2	Prl3a1	protein_coding	17225	mapped_to_reference_gene	Prl3a1
100x	100x	MSTRG.171.1	MSTRG.171	B1_Mus2	1	chr14	54872669	54876621	-	ENSMUSG00000072494.7	Ppp1r3e	protein_coding	3953	mapped_to_reference_gene	Ppp1r3e
100x	100x	MSTRG.178.1	MSTRG.178	B1_Mus2,ID_B1,MIR3,PB1D11	5	chr14	79481194	79582475	+	ENSMUSG00000036461.14	Elf1	protein_coding	101282	mapped_to_reference_gene	Elf1
100x	100x	MSTRG.22.4	MSTRG.22	B3,ID4,MER2,PB1D10	3	chr1	133367288	133378522	+	ENSMUSG00000070644.12	Etnk2	protein_coding	11235	mapped_to_reference_gene	Etnk2
100x	100x	MSTRG.355.2	MSTRG.355	L1MEd	2	chr3	60500935	60622240	+	ENSMUSG00000027763.12	Mbnl1	protein_coding	121306	mapped_to_reference_gene	Mbnl1
100x	100x	MSTRG.374.2	MSTRG.374	L1MA7,L2b	2	chr3	116109954	116129688	-	ENSMUSG00000027962.13	Vcam1	protein_coding	19735	mapped_to_reference_gene	Vcam1
100x	100x	MSTRG.376.3	MSTRG.376	Lx6	6	chr3	142530343	142547050	+	ENSMUSG00000040253.14	Gbp7	protein_coding	16708	mapped_to_reference_gene	Gbp7
100x	100x	MSTRG.376.4	MSTRG.376	Lx6	7	chr3	142530343	142547050	+	ENSMUSG00000040253.14	Gbp7	protein_coding	16708	mapped_to_reference_gene	Gbp7
100x	100x	MSTRG.38.2	MSTRG.38	B3A	1	chr1	191045865	191062932	-	ENSMUSG00000026632.16	Tatdn3	protein_coding	17068	mapped_to_reference_gene	Tatdn3
100x	100x	MSTRG.382.1	MSTRG.382	ID4	4	chr4	11156441	11174379	+	ENSMUSG00000028211.10	Trp53inp1	protein_coding	17939	mapped_to_reference_gene	Trp53inp1
100x	100x	MSTRG.403.2	MSTRG.403	ID4_	5	chr4	136310946	136342967	+	ENSMUSG00000066037.13	Hnrnpr	protein_coding	7917	mapped_to_reference_gene	Hnrnpr
100x	100x	MSTRG.451.2	MSTRG.451	MER46C	3	chr6	29065462	29073877	+	ENSMUSG00000059201.11	Lep	protein_coding	8416	mapped_to_reference_gene	Lep
100x	100x	MSTRG.457.1	MSTRG.457	B1F,B1_Mus2,ID_B1,RSINE1	8	chr6	45920792	47304209	+	ENSMUSG00000039419.15	Cntnap2	protein_coding	259150	mapped_to_reference_gene	Cntnap2
100x	100x	MSTRG.460.1	MSTRG.460	B1_Mus1,B2_Mm2,L1MC1,L1MC5,L2a,RSINE1,Tigger6a	1	chr6	65117293	65144907	-	ENSMUSG00000029919.5	Hpgds	protein_coding	14714	mapped_to_reference_gene	Hpgds
100x	100x	MSTRG.472.2	MSTRG.472	B1_Mur2,B2_Mm2	5	chr6	124304671	124330519	+	ENSMUSG00000008845.8	Cd163	protein_coding	21475	mapped_to_reference_gene	Cd163
100x	100x	MSTRG.476.2	MSTRG.476	PB1D10	1	chr6	134609209	134632488	-	ENSMUSG00000032718.4	Mansc1	protein_coding	23280	mapped_to_reference_gene	Mansc1
100x	100x	MSTRG.480.3	MSTRG.480	B1_Mur4	2	chr7	4983486	4996085	-	ENSMUSG00000051550.10	Zfp579	protein_coding	12600	mapped_to_reference_gene	Zfp579
100x	100x	MSTRG.504.1	MSTRG.504	MLT1G3	4	chr7	45005405	45015857	-	ENSMUSG00000038406.14	Scaf1	protein_coding	10453	mapped_to_reference_gene	Scaf1
100x	100x	MSTRG.532.2	MSTRG.532	PB1	1	chr7	131388669	131410521	-	ENSMUSG00000040167.14	Ikzf5	protein_coding	21853	mapped_to_reference_gene	Ikzf5
100x	100x	MSTRG.565.1	MSTRG.565	ID4_,PB1D11	6	chr8	94476126	94527268	+	ENSMUSG00000074151.11	Nlrc5	protein_coding	51143	mapped_to_reference_gene	Nlrc5
100x	100x	MSTRG.571.1	MSTRG.571	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448784	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
100x	100x	MSTRG.571.2	MSTRG.571	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448784	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
100x	100x	MSTRG.576.1	MSTRG.576	L1M4c	6	chr8	120230536	120581390	+	ENSMUSG00000031822.17	Gse1	protein_coding	350855	mapped_to_reference_gene	Gse1
100x	100x	MSTRG.576.2	MSTRG.576	L1M4c	6	chr8	120230536	120581390	+	ENSMUSG00000031822.17	Gse1	protein_coding	350855	mapped_to_reference_gene	Gse1
100x	100x	MSTRG.63.4	MSTRG.63	L1MC5a,URR1A	1	chr10	94156312	94167728	+	ENSMUSG00000005897.13	Nr2c1	protein_coding	11417	mapped_to_reference_gene	Nr2c1
100x	100x	MSTRG.88.3	MSTRG.88	B1_Mus2	6	chr11	82951352	82962941	+	ENSMUSG00000054404.11	Slfn5	protein_coding	11590	mapped_to_reference_gene	Slfn5
10x	10x	MSTRG.121.1	MSTRG.121	PB1D9	2	chr13	98309896	98316967	-	ENSMUSG00000021660.13	Btf3	protein_coding	7072	mapped_to_reference_gene	Btf3
10x	10x	MSTRG.122.3	MSTRG.122	ID_B1	3	chr13	104109838	104141735	+	ENSMUSG00000042743.12	Sgtb	protein_coding	31898	mapped_to_reference_gene	Sgtb
10x	10x	MSTRG.278.1	MSTRG.278	B1_Mur1,ORR1E,RSINE1	4	chr3	103743660	103778299	-	ENSMUSG00000008730.16	Hipk1	protein_coding	34640	mapped_to_reference_gene	Hipk1
10x	10x	MSTRG.283.3	MSTRG.283	Lx6	6	chr3	142530420	142547050	+	ENSMUSG00000040253.14	Gbp7	protein_coding	16631	mapped_to_reference_gene	Gbp7
10x	10x	MSTRG.329.3	MSTRG.329	MIRc	4	chr5	134707573	134729106	-	ENSMUSG00000029675.11	Eln	protein_coding	21534	mapped_to_reference_gene	Eln
10x	10x	MSTRG.344.1	MSTRG.344	B1_Mus1,B2_Mm2,L1MC1,L1MC5,L2a,RSINE1,Tigger6a	1	chr6	65117346	65144889	-	ENSMUSG00000029919.5	Hpgds	protein_coding	14714	mapped_to_reference_gene	Hpgds
10x	10x	MSTRG.370.1	MSTRG.370	MLT1G3	4	chr7	45005405	45015857	-	ENSMUSG00000038406.14	Scaf1	protein_coding	10453	mapped_to_reference_gene	Scaf1
10x	10x	MSTRG.421.1	MSTRG.421	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448820	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
10x	10x	MSTRG.421.2	MSTRG.421	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448820	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
25x	25x	MSTRG.133.1	MSTRG.133	PB1D9	2	chr13	98309896	98316967	-	ENSMUSG00000021660.13	Btf3	protein_coding	7072	mapped_to_reference_gene	Btf3
25x	25x	MSTRG.134.3	MSTRG.134	ID_B1	3	chr13	104109833	104141735	+	ENSMUSG00000042743.12	Sgtb	protein_coding	31903	mapped_to_reference_gene	Sgtb
25x	25x	MSTRG.320.1	MSTRG.320	B1_Mur1,ORR1E,RSINE1	4	chr3	103743660	103778299	-	ENSMUSG00000008730.16	Hipk1	protein_coding	34640	mapped_to_reference_gene	Hipk1
25x	25x	MSTRG.325.2	MSTRG.325	L1MA7,L2b	2	chr3	116109954	116129688	-	ENSMUSG00000027962.13	Vcam1	protein_coding	19735	mapped_to_reference_gene	Vcam1
25x	25x	MSTRG.327.3	MSTRG.327	Lx6	6	chr3	142530393	142547050	+	ENSMUSG00000040253.14	Gbp7	protein_coding	16658	mapped_to_reference_gene	Gbp7
25x	25x	MSTRG.327.4	MSTRG.327	Lx6	7	chr3	142530393	142547050	+	ENSMUSG00000040253.14	Gbp7	protein_coding	16658	mapped_to_reference_gene	Gbp7
25x	25x	MSTRG.351.2	MSTRG.351	ID4_	5	chr4	136310946	136342967	+	ENSMUSG00000066037.13	Hnrnpr	protein_coding	7917	mapped_to_reference_gene	Hnrnpr
25x	25x	MSTRG.387.3	MSTRG.387	MIRc	4	chr5	134707538	134729106	-	ENSMUSG00000029675.11	Eln	protein_coding	21569	mapped_to_reference_gene	Eln
25x	25x	MSTRG.406.1	MSTRG.406	B1_Mus1,B2_Mm2,L1MC1,L1MC5,L2a,RSINE1,Tigger6a	1	chr6	65117300	65144897	-	ENSMUSG00000029919.5	Hpgds	protein_coding	14714	mapped_to_reference_gene	Hpgds
25x	25x	MSTRG.415.2	MSTRG.415	B1_Mur2,B2_Mm2	5	chr6	124304684	124330516	+	ENSMUSG00000008845.8	Cd163	protein_coding	21462	mapped_to_reference_gene	Cd163
25x	25x	MSTRG.417.2	MSTRG.417	PB1D10	1	chr6	134609209	134632488	-	ENSMUSG00000032718.4	Mansc1	protein_coding	23280	mapped_to_reference_gene	Mansc1
25x	25x	MSTRG.440.1	MSTRG.440	MLT1G3	4	chr7	45005405	45015857	-	ENSMUSG00000038406.14	Scaf1	protein_coding	10453	mapped_to_reference_gene	Scaf1
25x	25x	MSTRG.499.1	MSTRG.499	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448784	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
25x	25x	MSTRG.499.2	MSTRG.499	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448784	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
25x	25x	MSTRG.54.1	MSTRG.54	ID_B1	5	chr10	88730858	88744094	+	ENSMUSG00000060904.13	Arl1	protein_coding	13237	mapped_to_reference_gene	Arl1
25x	25x	MSTRG.77.3	MSTRG.77	B1_Mus2	6	chr11	82951352	82962941	+	ENSMUSG00000054404.11	Slfn5	protein_coding	11590	mapped_to_reference_gene	Slfn5
25x	25x	MSTRG.77.4	MSTRG.77	B1_Mus2	7	chr11	82951352	82962941	+	ENSMUSG00000054404.11	Slfn5	protein_coding	11590	mapped_to_reference_gene	Slfn5
50x	50x	MSTRG.111.3	MSTRG.111	LTRIS_Mus	4	chr12	28675503	28682175	+	ENSMUSG00000020629.11	Adi1	protein_coding	6673	mapped_to_reference_gene	Adi1
50x	50x	MSTRG.128.1	MSTRG.128	MTC	2	chr13	4434432	4449478	+	ENSMUSG00000021210.14	Akr1c6	protein_coding	15047	mapped_to_reference_gene	Akr1c6
50x	50x	MSTRG.134.1	MSTRG.134	Lx5c	4	chr13	27259436	27276660	+	ENSMUSG00000038883.2	Prl3a1	protein_coding	17225	mapped_to_reference_gene	Prl3a1
50x	50x	MSTRG.143.1	MSTRG.143	PB1D9	2	chr13	98309896	98316967	-	ENSMUSG00000021660.13	Btf3	protein_coding	7072	mapped_to_reference_gene	Btf3
50x	50x	MSTRG.335.2	MSTRG.335	L1MEd	2	chr3	60500935	60622240	+	ENSMUSG00000027763.12	Mbnl1	protein_coding	121306	mapped_to_reference_gene	Mbnl1
50x	50x	MSTRG.354.2	MSTRG.354	L1MA7,L2b	2	chr3	116109954	116129688	-	ENSMUSG00000027962.13	Vcam1	protein_coding	19735	mapped_to_reference_gene	Vcam1
50x	50x	MSTRG.357.3	MSTRG.357	Lx6	6	chr3	142530374	142547050	+	ENSMUSG00000040253.14	Gbp7	protein_coding	16677	mapped_to_reference_gene	Gbp7
50x	50x	MSTRG.357.4	MSTRG.357	Lx6	7	chr3	142530374	142547050	+	ENSMUSG00000040253.14	Gbp7	protein_coding	16677	mapped_to_reference_gene	Gbp7
50x	50x	MSTRG.382.2	MSTRG.382	ID4_	5	chr4	136310946	136342967	+	ENSMUSG00000066037.13	Hnrnpr	protein_coding	7917	mapped_to_reference_gene	Hnrnpr
50x	50x	MSTRG.431.2	MSTRG.431	MER46C	3	chr6	29065462	29073877	+	ENSMUSG00000059201.11	Lep	protein_coding	8416	mapped_to_reference_gene	Lep
50x	50x	MSTRG.435.1	MSTRG.435	B1F,B1_Mus2,ID_B1,RSINE1	8	chr6	45920792	47304209	+	ENSMUSG00000039419.15	Cntnap2	protein_coding	259150	mapped_to_reference_gene	Cntnap2
50x	50x	MSTRG.439.1	MSTRG.439	B1_Mus1,B2_Mm2,L1MC1,L1MC5,L2a,RSINE1,Tigger6a	1	chr6	65117297	65144907	-	ENSMUSG00000029919.5	Hpgds	protein_coding	14714	mapped_to_reference_gene	Hpgds
50x	50x	MSTRG.449.2	MSTRG.449	B1_Mur2,B2_Mm2	5	chr6	124304684	124330519	+	ENSMUSG00000008845.8	Cd163	protein_coding	21462	mapped_to_reference_gene	Cd163
50x	50x	MSTRG.453.2	MSTRG.453	PB1D10	1	chr6	134609209	134632488	-	ENSMUSG00000032718.4	Mansc1	protein_coding	23280	mapped_to_reference_gene	Mansc1
50x	50x	MSTRG.475.1	MSTRG.475	MLT1G3	4	chr7	45005405	45015857	-	ENSMUSG00000038406.14	Scaf1	protein_coding	10453	mapped_to_reference_gene	Scaf1
50x	50x	MSTRG.539.1	MSTRG.539	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448784	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
50x	50x	MSTRG.539.2	MSTRG.539	B1F,B3A,B4A,ID4,RMER17C2,RSINE1	1	chr8	111448784	111522107	-	ENSMUSG00000031959.13	Wdr59	protein_coding	61525	mapped_to_reference_gene	Wdr59
