transcript_id	gene_id	gene_name	gene_type	seqnames	strand	left_start	left_end	left_is_TE	left_TE_name	left_TE_class	left_TE_family	left_TE_overlap_width	right_start	right_end	right_is_TE	right_TE_name	right_TE_class	right_TE_family	right_TE_overlap_width	junction_type	donor_site	acceptor_site
OFFICIAL_SIMTX_ENSMUSG00000000378.14_iso1	ENSMUSG00000000378.14	Ccm2	protein_coding	chr11	+	6560183	6560303	TRUE	MER47A	DNA	TcMar-Tigger	121	6584520	6584603	FALSE	none	none	none	0	TE_to_host	6560303	6584520
OFFICIAL_SIMTX_ENSMUSG00000001105.14_iso1	ENSMUSG00000001105.14	Ift20	protein_coding	chr11	+	78536361	78536576	FALSE	none	none	none	0	78538510	78538738	TRUE	L2c	LINE	L2	110	host_to_TE	78536576	78538510
OFFICIAL_SIMTX_ENSMUSG00000001105.14_iso1	ENSMUSG00000001105.14	Ift20	protein_coding	chr11	+	78538510	78538738	TRUE	L2c	LINE	L2	110	78539960	78540045	FALSE	none	none	none	0	TE_to_host	78538738	78539960
OFFICIAL_SIMTX_ENSMUSG00000001930.16_iso2	ENSMUSG00000001930.16	Vwf	protein_coding	chr6	+	125655032	125655252	FALSE	none	none	none	0	125686351	125686672	TRUE	L2	LINE	L2	29	host_to_TE	125655252	125686351
OFFICIAL_SIMTX_ENSMUSG00000001930.16_iso3	ENSMUSG00000001930.16	Vwf	protein_coding	chr6	+	125658716	125658915	FALSE	none	none	none	0	125658716	125661967	TRUE	MIRb,MER103C	SINE,DNA	MIR,hAT-Charlie	111	host_to_TE	125658915	125658716
OFFICIAL_SIMTX_ENSMUSG00000001930.16_iso3	ENSMUSG00000001930.16	Vwf	protein_coding	chr6	+	125658716	125661967	TRUE	MIRb,MER103C	SINE,DNA	MIR,hAT-Charlie	111	125685810	125685907	FALSE	none	none	none	0	TE_to_host	125661967	125685810
OFFICIAL_SIMTX_ENSMUSG00000002031.10_iso3	ENSMUSG00000002031.10	Ift46	protein_coding	chr9	+	44789891	44789976	FALSE	none	none	none	0	44790485	44792714	TRUE	MER21B,RSINE1	LTR,SINE	ERVL,B4	160	host_to_TE	44789976	44790485
OFFICIAL_SIMTX_ENSMUSG00000002699.11_iso3	ENSMUSG00000002699.11	Lcp2	protein_coding	chr11	+	34089525	34089680	FALSE	none	none	none	0	34090565	34092295	TRUE	Tigger5b	DNA	TcMar-Tigger	279	host_to_TE	34089680	34090565
OFFICIAL_SIMTX_ENSMUSG00000003135.14_iso1	ENSMUSG00000003135.14	Cnot11	protein_coding	chr1	+	39544892	39544988	FALSE	none	none	none	0	39545069	39546889	TRUE	Lx3C	LINE	L1	379	host_to_TE	39544988	39545069
OFFICIAL_SIMTX_ENSMUSG00000003135.14_iso2	ENSMUSG00000003135.14	Cnot11	protein_coding	chr1	+	39544892	39544988	FALSE	none	none	none	0	39545069	39546873	TRUE	Lx3C	LINE	L1	367	host_to_TE	39544988	39545069
OFFICIAL_SIMTX_ENSMUSG00000003135.14_iso3	ENSMUSG00000003135.14	Cnot11	protein_coding	chr1	+	39544892	39544988	FALSE	none	none	none	0	39545069	39546873	TRUE	Lx3C	LINE	L1	367	host_to_TE	39544988	39545069
OFFICIAL_SIMTX_ENSMUSG00000003452.14_iso1	ENSMUSG00000003452.14	Bicd1	protein_coding	chr6	+	149545882	149550425	TRUE	ID4_,B1_Mm,B3	SINE	ID,Alu,B2	211	149556644	149557819	FALSE	none	none	none	0	TE_to_host	149550425	149556644
OFFICIAL_SIMTX_ENSMUSG00000003865.13_iso2	ENSMUSG00000003865.13	Gys1	protein_coding	chr7	+	45451751	45451914	FALSE	none	none	none	0	45451751	45452116	TRUE	B1_Mur3	SINE	Alu	141	host_to_TE	45451914	45451751
OFFICIAL_SIMTX_ENSMUSG00000003865.13_iso2	ENSMUSG00000003865.13	Gys1	protein_coding	chr7	+	45451751	45452116	TRUE	B1_Mur3	SINE	Alu	141	45455041	45455847	FALSE	none	none	none	0	TE_to_host	45452116	45455041
OFFICIAL_SIMTX_ENSMUSG00000003865.13_iso2	ENSMUSG00000003865.13	Gys1	protein_coding	chr7	+	45455041	45455847	FALSE	none	none	none	0	45455041	45456619	TRUE	ID_B1	SINE	B4	212	host_to_TE	45455847	45455041
OFFICIAL_SIMTX_ENSMUSG00000003949.15_iso1	ENSMUSG00000003949.15	Hlf	protein_coding	chr11	-	90387786	90388121	FALSE	none	none	none	0	90339142	90340974	TRUE	RLTR17B_Mm	LTR	ERVK	154	host_to_TE	90387786	90340974
OFFICIAL_SIMTX_ENSMUSG00000003949.15_iso3	ENSMUSG00000003949.15	Hlf	protein_coding	chr11	-	90381409	90381935	TRUE	MIRb	SINE	MIR	55	90345758	90345978	FALSE	none	none	none	0	TE_to_host	90381409	90345978
OFFICIAL_SIMTX_ENSMUSG00000003949.15_iso3	ENSMUSG00000003949.15	Hlf	protein_coding	chr11	-	90345548	90345978	FALSE	none	none	none	0	90339142	90340974	TRUE	RLTR17B_Mm	LTR	ERVK	154	host_to_TE	90345548	90340974
OFFICIAL_SIMTX_ENSMUSG00000004561.13_iso2	ENSMUSG00000004561.13	Mettl17	protein_coding	chr14	+	51888742	51888836	FALSE	none	none	none	0	51888742	51889635	TRUE	MT2B2,B1F1,ID_B1	LTR,SINE	ERVL,Alu,B4	98	host_to_TE	51888836	51888742
OFFICIAL_SIMTX_ENSMUSG00000004561.13_iso2	ENSMUSG00000004561.13	Mettl17	protein_coding	chr14	+	51888742	51889635	TRUE	MT2B2,B1F1,ID_B1	LTR,SINE	ERVL,Alu,B4	98	51890678	51890728	FALSE	none	none	none	0	TE_to_host	51889635	51890678
OFFICIAL_SIMTX_ENSMUSG00000004748.5_iso1	ENSMUSG00000004748.5	Mtfp1	protein_coding	chr11	-	4094814	4095140	TRUE	MIRc	SINE	MIR	37	4091480	4092299	FALSE	none	none	none	0	TE_to_host	4094814	4092299
OFFICIAL_SIMTX_ENSMUSG00000004748.5_iso2	ENSMUSG00000004748.5	Mtfp1	protein_coding	chr11	-	4094814	4095140	TRUE	MIRc	SINE	MIR	37	4094434	4094516	FALSE	none	none	none	0	TE_to_host	4094814	4094516
